id,amount,date,category,description,isExpense,paymentMethod
ea95d967-6ea5-48a2-9210-5270bf9616af,132.52,2024-03-07,医疗,药品,True,现金
f6e4e5ad-f861-4eb5-998a-d28d99b9a816,225.37,2024-03-08,娱乐,电影,True,支付宝
f946cc0e-8009-4a44-90eb-fc96c44c9842,84.78,2024-03-08,住房,房租,True,银行转账
3db78800-e3ed-4586-880d-d2c72b5e92d3,58.66,2024-03-09,交通,出租车,True,现金
8e1a7a6a-5a39-4cc7-985f-c62d565f9ab5,113.25,2024-03-09,交通,出租车,True,微信
7f3696e6-a81d-44c0-a2ba-d81506dc22d7,149.45,2024-03-10,住房,房租,True,支付宝
3ae0f100-6005-45b4-a00f-c015d0ea3a1d,82.47,2024-03-10,交通,出租车,True,支付宝
b930e3d6-a933-4b63-811e-16d5022b29da,32.01,2024-03-11,交通,出租车,True,支付宝
008a05bd-4d30-4688-be05-d8bcc81d9323,7647.43,2024-03-11,收入,工资,False,现金
339df129-37bb-4293-926d-4618648f3d0c,187.37,2024-03-11,娱乐,电影,True,微信
696235f6-85c0-4b6b-b159-3961444503d9,101.52,2024-03-12,住房,房租,True,银行转账
aba78e05-517d-4416-b1d4-430586641207,240.58,2024-03-12,餐饮,早餐,True,微信
ef644f85-34d7-4685-8471-1734d40fb37d,4248.65,2024-03-13,收入,工资,False,现金
037c2805-5a13-433d-8d3f-fccff8b5f443,22.58,2024-03-13,餐饮,早餐,True,现金
35d06822-19aa-4742-84fd-69cb55d5bbef,40.05,2024-03-14,餐饮,早餐,True,支付宝
88d5c063-51f7-4fed-9bfc-7d7c08b715a4,64.92,2024-03-14,交通,出租车,True,现金
b0b10432-b66d-40d5-8c9c-0e21007ff44e,173.19,2024-03-15,餐饮,早餐,True,支付宝
0efd750f-e8b8-4d4a-885e-dd75d78a455c,73.99,2024-03-15,餐饮,早餐,True,微信
920c62fc-8dd3-433f-b28d-f8c5c70c45cd,35.25,2024-03-16,娱乐,电影,True,现金
b19f4ab9-a747-4f37-99a5-e0313538f1a0,70.37,2024-03-16,餐饮,早餐,True,支付宝
4ce8e6da-3423-4941-be0b-70fe31aed735,58.7,2024-03-16,购物,网购,True,信用卡
5161942c-72af-4d1c-ad20-29c7e33e8b61,206.96,2024-03-17,娱乐,电影,True,微信
4e358c95-c813-4711-8248-aa8220c5f297,95.19,2024-03-17,交通,出租车,True,现金
f8eec27f-209d-4ad0-aae9-a11732a4e975,2689.65,2024-03-18,收入,工资,False,现金
fb60a99f-2bf4-4391-ba5f-c0897f92cd0e,107.69,2024-03-18,餐饮,早餐,True,支付宝
a8c08eff-f088-4e7a-abda-0f761771b2f0,47.46,2024-03-19,购物,网购,True,支付宝
2e9ff141-a8be-4edf-913e-ff199f64a042,74.23,2024-03-19,住房,房租,True,现金
a6129fe1-5a3a-4063-b2a2-50a8293bb037,71.52,2024-03-20,购物,网购,True,支付宝
7fbd95bd-5d76-4797-9985-0a9dd535c542,104.35,2024-03-20,餐饮,早餐,True,现金
0fda558f-8ca9-4d4d-874e-085a5e72811a,108.5,2024-03-21,住房,房租,True,微信
59ae68a5-018d-40ad-a52c-bde660f788a1,81.93,2024-03-21,餐饮,早餐,True,现金
32cf814f-fa69-4658-a971-f97e43f6aa45,53.29,2024-03-21,住房,房租,True,微信
fe08e5ef-8853-4de6-9040-b39c5074e5eb,176.04,2024-03-22,购物,网购,True,信用卡
18e31109-8e86-43a3-ba7f-6fe75891260e,272.03,2024-03-22,餐饮,早餐,True,微信
656022c0-642a-4acf-a709-6cfbb4a205ec,111.63,2024-03-23,餐饮,早餐,True,微信
